ingredient,safety,description,rating
Chamomile Extract,Safe,"A botanical extract known for its calming and anti-inflammatory properties.",5
Charcoal Powder,Safe,"An ingredient that helps draw out impurities and toxins from the skin.",5
Chondrus Crispus Extract,Safe,"Also known as Irish moss extract, it hydrates and soothes the skin.",5
Citronellol,Caution,"A fragrance ingredient that can cause allergic reactions in sensitive individuals.",3
Cocamidopropyl Betaine,Caution,"A surfactant derived from coconut oil that can cause irritation in some people.",3
Coenzyme Q10,Safe,"An antioxidant that helps protect the skin from oxidative stress and signs of aging.",5
Colloidal Oatmeal,Safe,"A finely ground oatmeal that soothes and protects dry, irritated skin.",5
Copper Peptides,Safe,"Peptides that promote healing, improve skin elasticity, and reduce wrinkles.",5
Cucumber Extract,Safe,"A hydrating and soothing ingredient that helps calm the skin.",5
Dipotassium Glycyrrhizate,Safe,"A licorice root derivative that soothes and calms irritated skin.",5
Edelweiss Extract,Safe,"A plant extract with antioxidant properties that protect the skin from environmental stress.",5
Ethyl Ascorbic Acid,Safe,"A stable form of vitamin C that brightens the skin and reduces pigmentation.",5
Evening Primrose Oil,Safe,"A natural oil rich in fatty acids that moisturizes and soothes the skin.",5
Ferulic Acid,Safe,"An antioxidant that enhances the stability and efficacy of vitamins C and E.",5
Galactomyces Ferment Filtrate,Safe,"A yeast-derived ingredient that hydrates and brightens the skin.",5
Ginkgo Biloba Extract,Safe,"An antioxidant-rich extract that improves skin circulation and reduces inflammation.",5
Glutathione,Safe,"A powerful antioxidant that helps brighten the skin and reduce melanin production.",5
Glyceryl Stearate,Safe,"An emulsifier that helps stabilize and thicken cosmetic formulations.",5
Gotu Kola Extract,Safe,"A plant extract that promotes collagen production and improves skin elasticity.",5
Grape Seed Oil,Safe,"A lightweight oil rich in antioxidants and fatty acids, used to moisturize the skin.",5
Hamamelis Virginiana Extract,Caution,"Also known as witch hazel, it can be drying and irritating to sensitive skin.",3
Helianthus Annuus Seed Oil,Safe,"Sunflower seed oil that moisturizes and nourishes the skin.",5
Hexylresorcinol,Safe,"A skin-brightening agent that helps reduce hyperpigmentation and even skin tone.",5
Hydrolyzed Collagen,Safe,"A protein that helps improve skin elasticity and hydration.",5
Hydroxyethyl Urea,Safe,"A humectant that attracts moisture to the skin, keeping it hydrated.",5
Isopropyl Myristate,Caution,"An emollient that can clog pores and cause breakouts in acne-prone skin.",3
Jojoba Esters,Safe,"A wax ester that moisturizes and softens the skin.",5
Kojic Acid,Caution,"A skin-lightening agent that can cause irritation and sensitivity in some individuals.",3
Lactic Acid,Safe,"An alpha hydroxy acid (AHA) that exfoliates and hydrates the skin.",5
Lecithin,Safe,"An emulsifier and moisturizer that helps improve skin texture.",5
Licorice Root Extract,Safe,"A natural extract that soothes the skin and helps reduce hyperpigmentation.",5
Linoleic Acid,Safe,"An essential fatty acid that strengthens the skin barrier and retains moisture.",5
Macadamia Integrifolia Seed Oil,Safe,"A nourishing oil rich in fatty acids that moisturizes the skin.",5
Magnesium Ascorbyl Phosphate,Safe,"A stable form of vitamin C that brightens the skin and reduces signs of aging.",5
Malic Acid,Safe,"An alpha hydroxy acid (AHA) that exfoliates and improves skin texture.",5
Mandelic Acid,Safe,"An AHA derived from almonds that exfoliates and brightens the skin.",5
Moringa Oleifera Seed Oil,Safe,"A nutrient-rich oil that moisturizes and nourishes the skin.",5
Oenothera Biennis Oil,Safe,"Evening primrose oil that soothes and moisturizes the skin.",5
Olive Oil,Safe,"A natural oil rich in antioxidants and fatty acids, used to moisturize the skin.",5
Panthenol,Safe,"Also known as provitamin B5, it hydrates and soothes the skin.",5
Squalane,Safe,"A stable hydrocarbon that mimics the skin's natural oils, providing lightweight moisture without clogging pores.",5
Petrolatum,Safe,"An occlusive agent that seals in moisture, often used in healing ointments and balms.",5
Mineral Oil,Caution,"A moisturizing agent derived from petroleum; generally safe but may clog pores in some skin types.",3
Polysorbate 20,Caution,"An emulsifier used to blend oil and water; safe in low concentrations but may irritate sensitive skin.",3
BHT,Harmful,"A synthetic antioxidant used to preserve products; linked to potential hormone disruption.",2
BHA (Butylated Hydroxyanisole),Harmful,"A preservative and antioxidant suspected of being a human carcinogen and hormone disruptor.",1
EDTA,Caution,"A chelating agent used to improve product stability; considered safe but can enhance skin penetration of other chemicals.",3
Caprylyl Glycol,Safe,"A humectant and skin-conditioning agent that helps maintain moisture.",5
Stearic Acid,Safe,"A fatty acid used as an emulsifier and thickener; helps condition and protect the skin.",5
Tocopherol,Safe,"A form of Vitamin E that acts as an antioxidant and helps protect skin from environmental stressors.",5
Urea,Safe,"A hydrating and exfoliating ingredient that improves moisture retention and skin texture.",5
Resveratrol,Safe,"A powerful antioxidant found in grapes that protects against free radicals and has anti-aging properties.",5
Aluminum Chlorohydrate,Harmful,"Common in antiperspirants; blocks sweat glands but is linked to potential health concerns.",1
Talc,Caution,"Used for its absorbent properties; may be contaminated with asbestos if not properly purified.",3
Octocrylene,Caution,"A UV filter often used in sunscreens; can cause irritation and allergic reactions in some people.",3
Ethylhexylglycerin,Safe,"A preservative and skin-conditioning agent with antimicrobial properties.",5
Polyglyceryl-6 Distearate,Safe,"An emulsifier derived from natural oils, helps improve product texture and spreadability.",5
Hydrogenated Polyisobutene,Safe,"A synthetic oil used as a lubricant and moisturizer in skincare products.",5
Sorbitan Olivate,Safe,"A natural emulsifier derived from olives, used to moisturize and soften skin.",5
Triethanolamine,Caution,"Used to balance pH in cosmetics; can be irritating and form harmful nitrosamines when mixed with certain preservatives.",3
Silica,Safe,"A mineral used for oil control and to provide a smooth, matte finish.",5
Kaolin Clay,Safe,"A natural clay used to absorb oil and impurities, great for oily or acne-prone skin.",5
Benzyl Alcohol,Caution,"A preservative and solvent that can be irritating to sensitive skin.",3
Hydroxypropyl Methylcellulose,Safe,"A thickener and film-forming agent used in moisturizers and cleansers.",5
Phenethyl Alcohol,Caution,"A preservative with a rose-like scent; can cause irritation in sensitive individuals.",3
Carnauba Wax,Safe,"A natural wax derived from the leaves of the carnauba palm, used for thickening and gloss.",5
Beeswax,Safe,"A natural wax used to lock in moisture and provide structure to balms and creams.",5
Ethylhexyl Palmitate,Caution,"An emollient that gives a silky texture but may clog pores in acne-prone skin.",3
PEG-100 Stearate,Caution,"An emulsifier derived from polyethylene glycol; may be contaminated with ethylene oxide or 1,4-dioxane.",3
Benzophenone-3 (Oxybenzone),Harmful,"A chemical sunscreen ingredient linked to hormone disruption and allergic reactions.",1

